DATE,N_employees,N_applications,Inflation,BUSINV,Loan_tight,Loan_Demand,Profit,Sales,Quarter,Year
1/1/2006,135732.6667,56229.16667,2.504367667,1330287,-10.7,16.1,880.676,1058565.667,First,2006
4/1/2006,136261.6667,55211.53846,2.82766,1362518.667,-12.3,3.5,902.575,1069808,Second,2006
7/1/2006,136678.3333,47388.57143,3.172047333,1389556,-8.9,-1.9,969.334,1074451,Third,2006
10/1/2006,137056,45140.76923,3.18104,1405920.333,0,-3.6,905.291,1076955.667,Fourth,2006
1/1/2007,137604.3333,54681.53846,3.129683333,1417512.333,0,-1.8,874.867,1095280.667,First,2007
4/1/2007,137969,53343.84615,2.784459333,1437326.667,-3.8,-22.6,897.436,1122932,Second,2007
7/1/2007,138054,48219.23077,2.486496333,1453496.333,7.5,-19.2,791.427,1131085.667,Third,2007
10/1/2007,138287.3333,47563.84615,2.618832667,1477041.333,19.2,-17.3,848.27,1163534.333,Fourth,2007
1/1/2008,138326.3333,54359.23077,2.684794,1505177,32.1,-16.4,729.1,1177970.667,First,2008
4/1/2008,137857.6667,52842.30769,2.817493,1519567,55.4,0,767.992,1208120.667,Second,2008
7/1/2008,137153.3333,46454.61538,3.054299333,1534543,57.7,-3.8,815.52,1191977.667,Third,2008
10/1/2008,135562.6667,42474.61538,2.771273667,1492659.333,83.6,-16.7,499.544,1049559,Fourth,2008
1/1/2009,133291.3333,48964.61538,2.505415333,1427071.333,64.2,-60.4,537.74,973261,First,2009
4/1/2009,131432.6667,49294.61538,2.237264,1371536.667,39.6,-60.4,535.467,964281.3333,Second,2009
7/1/2009,130460.6667,44383.84615,1.756701667,1325145.333,31.5,-44.4,601.229,993461.6667,Third,2009
10/1/2009,129975.6667,43064.61538,1.396515333,1329734.667,14,-31.6,749.235,1025838,Fourth,2009
1/1/2010,129787.3333,50232.30769,1.0483168,1341752.667,-5.5,-25.5,830.982,1056003,First,2010
4/1/2010,130420.3333,50923.07692,0.8135759,1359726,-7.1,-7.1,847.955,1077957.333,Second,2010
7/1/2010,130394.3333,45217.69231,0.699684967,1392887.333,-8.8,1.8,892.772,1090947.333,Third,2010
10/1/2010,130736.6667,44739.23077,0.775474467,1436122.667,-10.5,-7,834.794,1129880.667,Fourth,2010
1/1/2011,131057,54740,1.083932067,1474552,-10.5,28.1,779.829,1179050.333,First,2011
4/1/2011,131748,50826.15385,1.253441333,1516829.333,-16.4,27.3,857.915,1202050.333,Second,2011
7/1/2011,132153.6667,46266.92308,1.597132333,1537620,-21.8,20,857.159,1216379.667,Third,2011
10/1/2011,132720,44580.71429,1.905452,1558602.333,-5.9,-15.7,841.791,1232403.333,Fourth,2011
1/1/2012,133503,53986.15385,2.084076667,1584751.667,5.4,19.6,1065.4,1263380.667,First,2012
4/1/2012,133923.6667,52177.69231,2.206308667,1606150.667,-6.9,31,1040.075,1259264.333,Second,2012
7/1/2012,134331.3333,45170.76923,2.216934,1633706,-9.5,7.9,1030.716,1260467.667,Third,2012
10/1/2012,134859,45903.07692,2.169771,1651554,-7.6,-6.2,1044.642,1280132.667,Fourth,2012
1/1/2013,135500.3333,56312.30769,2.102180333,1671699.667,-7.4,19.1,1085.759,1300424.667,First,2013
4/1/2013,136078.3333,51496.92308,1.903783,1674470,-19.1,5.9,1067.366,1295391.333,Second,2013
7/1/2013,136614.6667,47192.30769,1.888414667,1688711.333,-18.1,15.3,1071.135,1305066,Third,2013
10/1/2013,137239.3333,45381.53846,1.876679667,1717703.667,-8.3,1.4,1082.489,1322294.667,Fourth,2013
1/1/2014,137749.3333,57568.46154,1.810864333,1741905,-13.7,16.4,1038.075,1330046.667,First,2014
4/1/2014,138543.6667,54500.76923,2.098655333,1764025.667,-11.1,13.9,1103.139,1352127,Second,2014
7/1/2014,139299,48980.76923,2.002502,1779343,-10.7,30.7,1183.319,1358676.667,Third,2014
10/1/2014,140086,46023.84615,1.987278667,1789324,-10.5,15.8,1165.939,1338986,Fourth,2014
1/1/2015,140772.6667,59020.76923,1.979496,1794484,-5.5,17.8,1053.093,1298882.667,First,2015
4/1/2015,141478.6667,56060,2.071334333,1811277.667,-5.3,0,1071.084,1312393.667,Second,2015
7/1/2015,142128,51472.30769,2.189406,1823698.667,-7,10,1086.265,1308856.667,Third,2015
10/1/2015,142825.6667,49104.61538,2.389204667,1826333.667,7.4,2.9,973.546,1288656,Fourth,2015
1/1/2016,143424.3333,61866.92308,2.508448667,1821612,8.2,-11.1,1047.35,1270176.667,First,2016
4/1/2016,143969.6667,59291.53846,2.553579,1833235,11.6,-8.7,1056.997,1287176.667,Second,2016
7/1/2016,144713.3333,53803.84615,2.636933667,1837961,8.5,4.3,1044.56,1296997.333,Third,2016
10/1/2016,145222.3333,50247.14286,2.535372667,1850645.333,1.5,-5.9,1035.886,1315066.333,Fourth,2016
1/1/2017,145820,69646.66667,2.584297,1864366.667,1.4,0,1160.301,1339776.333,First,2017
4/1/2017,146383.3333,64474.61538,2.165805,1871637.333,-2.8,-6.9,1140.878,1339517.333,Second,2017
7/1/2017,146892.6667,58437.14286,2.099392667,1893978,-3.9,-11.8,1115.956,1356872,Third,2017
10/1/2017,147347.3333,54004.61538,2.131523333,1909256.333,-8.5,-11.3,945.96,1401628,Fourth,2017
1/1/2018,148000.3333,77428.46154,2.215949667,1932124,-10,2.9,1058.939,1412800.667,First,2018
4/1/2018,148716.3333,70726.15385,2.528900333,1941997.667,-11.3,-7,1148.471,1439994.667,Second,2018
7/1/2018,149219.3333,63900.76923,2.471359,1967409.333,-15.9,2.9,1122.917,1450539.667,Third,2018
10/1/2018,149650.3333,57094.61538,2.449275667,1992526,-15.9,-14.5,1090.338,1445368.333,Fourth,2018
1/1/2019,150141,77300.76923,2.369314333,2020724,2.8,-8.3,1033.815,1433237,First,2019
4/1/2019,150695.3333,70478.46154,2.382091,2036556.333,-4.2,-16.9,1025.534,1442637.333,Second,2019
7/1/2019,151149,62952.30769,2.576418333,2046025.667,-2.8,-1.4,1089.337,1437656.667,Third,2019
10/1/2019,151638.6667,59314.61538,2.757408667,2044465,5.4,-21.6,1130.917,1426821.667,Fourth,2019
1/1/2020,151750.6667,74636.92308,2.732379333,2025588,0,-11.1,1061.302,1394676.333,First,2020
4/1/2020,133705.3333,72240,2.062335667,1948647.667,41.5,7.6,990.776,1246622,Second,2020
7/1/2020,140611.3333,107242.3077,2.158238333,1934499,71.2,-23.3,1637.951,1417840,Third,2020
10/1/2020,142590.6667,83450.83333,1.681852,1979631,37.7,-35.3,1518.267,1459985.333,Fourth,2020
1/1/2021,143544.3333,116516.9231,1.466019333,2020647,5.5,-11.1,1761.822,1543777.667,First,2021
4/1/2021,145153,118136.1538,2.443454333,2046803,-15.1,-6.9,2069.792,1617878,Second,2021
7/1/2021,147231,95033.84615,2.422226,2111824,-32.4,5.6,1989.949,1651617.667,Third,2021
10/1/2021,149175.3333,86993.07692,3.216148667,2208880.667,-18.2,7.6,1922.653,1715812.333,Fourth,2021
1/1/2022,150753.3333,107680.7692,4.260048667,2336261.333,-14.5,21.7,1975.969,1801462,First,2022
4/1/2022,151972.6667,102999.2308,5.017079667,2445154,-1.5,12.3,2193.053,1858892.667,Second,2022
7/1/2022,153285,92708.46154,5.963353,2506019,24.2,24.2,2053.694,1846186.333,Third,2022
10/1/2022,154114.3333,83230,6.424552,2524929.667,39.1,-8.8,1915.853,1835013,Fourth,2022
1/1/2023,155013,117142.5,6.467833333,2524600.667,44.8,-31.3,1936.479,1840549.667,First,2023
4/1/2023,155766,110544.6154,5.942054333,2517756.667,46,-55.6,1991.695,1819988.667,Second,2023
7/1/2023,156433,103769.2857,5.179248667,2522687,50.8,-51.6,2090.318,1850181,Third,2023
10/1/2023,157050,89806.92308,4.708539,2528803,33.9,-30.5,2163.011,1851811.333,Fourth,2023
1/1/2024,157820.6667,115491.5385,4.50541242,2537893,14.5,-25,2186.043,1850993.333,First,2024
